* 0x085e44de0       1711 ARFilter
* 0x085e450d0    8081409 Default__ScriptStruct
* 0x085e45200       3015 TopLevelAssetPath
* 0x085e45330       2023 SoftObjectPath
* 0x085e45460       1691 AssetBundleData
* 0x085e45590    7969139 AssetBundleEntry
* 0x085e456c0          0 
* 0x085e457f0    8082588 AutomationEvent
* 0x085e45920       1996 Guid
* 0x085e45bf0    8083387 AutomationExecutionEntry
* 0x085e45d20       2006 DateTime
* 0x085e45e50        276 Box
* 0x085e45f80        302 Vector
* 0x085e460b0        472 Box2D
* 0x085e461e0        279 Vector2D
* 0x085e46310          0 
* 0x085e46440          0 
* 0x085e46570        421 Box3d
* 0x085e466a0        368 Vector3d
* 0x085e467d0          0 
* 0x085e46900        363 Vector3f
* 0x085e46a30        263 BoxSphereBounds
* 0x085e46b60        435 BoxSphereBounds3d
* 0x085e46c90        425 BoxSphereBounds3f
* 0x085e46dc0        316 Color
* 0x085e46ef0          0 
* 0x085e47020    8083866 DoubleRange
* 0x085e47150    8083873 DoubleRangeBound
* 0x085e47350       2071 FallbackStruct
* 0x085e47480    5667097 FilePath
* 0x085e475b0    8084081 FloatInterval
* 0x085e476e0    8084118 FloatRange
* 0x085e47810    8084124 FloatRangeBound
* 0x085e47940       2016 FrameNumber
* 0x085e47a70    8084133 FrameNumberRange
* 0x085e47ba0    8084142 FrameNumberRangeBound
* 0x085e47cd0       1346 FrameRate
* 0x085e47e00      81349 FrameTime
* 0x085e47f30    8084172 InputDeviceId
* 0x085e48060          0 
* 0x085e48190        661 Int32Point
* 0x085e482c0    8084194 Int32Range
* 0x085e483f0    8084200 Int32RangeBound
* 0x085e48520        554 Int32Vector
* 0x085e48650        618 Int32Vector2
* 0x085e48780          0 
* 0x085e488b0          0 
* 0x085e489e0        561 Int64Vector
* 0x085e48b10        625 Int64Vector2
* 0x085e48c40        589 Int64Vector4
* 0x085e48d70       1295 InterpCurveFloat
* 0x085e48ea0       1919 InterpCurvePointFloat
* 0x085e490a0    8084397 InterpCurveLinearColor
* 0x085e491d0       1981 InterpCurvePointLinearColor
* 0x085e49300        328 LinearColor
* 0x085e49430       1956 InterpCurvePointQuat
* 0x085e49560        351 Quat
* 0x085e49690          0 
* 0x085e497c0          0 
* 0x085e498f0          0 
* 0x085e49a20       1931 InterpCurvePointVector2D
* 0x085e49b50       1337 InterpCurveQuat
* 0x085e49c80       1325 InterpCurveTwoVectors
* 0x085e49db0       1315 InterpCurveVector
* 0x085e49ee0       1304 InterpCurveVector2D
* 0x085e4a010        289 IntPoint
* 0x085e4a140        480 IntVector
* 0x085e4a270          0 
* 0x085e4a3a0        486 IntVector4
* 0x085e4a4d0        324 Matrix
* 0x085e4a600        320 Plane
* 0x085e4a730        389 Matrix44d
* 0x085e4a860          0 
* 0x085e4a990        383 Matrix44f
* 0x085e4aac0        373 Plane4f
* 0x085e4abf0       1906 OrientedBox
* 0x085e4ad20          0 
* 0x085e4ae50    8084663 PackedRGB10A2N
* 0x085e4af80    8084675 PackedRGBA16N
* 0x085e4b0b0          0 
* 0x085e4b2b0    8084852 PlatformUserId
* 0x085e4b3e0          0 
* 0x085e4b5e0          0 
* 0x085e4b710       1888 PrimaryAssetType
* 0x085e4b840    7969024 QualifiedFrameTime
* 0x085e4b970          0 
* 0x085e4baa0        395 Quat4f
* 0x085e4bbd0       1999 RandomStream
* 0x085e4bd00          0 
* 0x085e4be30          0 
* 0x085e4bf60        690 Ray3f
* 0x085e4c090          0 
* 0x085e4c1c0        461 Rotator3d
* 0x085e4c2f0        455 Rotator3f
* 0x085e4c420       2031 SoftClassPath
* 0x085e4c550        272 Sphere
* 0x085e4c680        703 Sphere3d
* 0x085e4c7b0        698 Sphere3f
* 0x085e4c8e0    8085174 TemplateString
* 0x085e4ca10       2047 TestUndeclaredScriptStructObjectReferencesTest
* 0x085e4cb40       1861 TestUninitializedScriptStructMembersTest
* 0x085e4cc70    7969034 Timecode
* 0x085e4cda0       2011 Timespan
* 0x085e4ced0          0 
* 0x085e4d000        410 Transform3d
* 0x085e4d130        403 Transform3f
* 0x085e4d260        673 Uint32Point
* 0x085e4d390          0 
* 0x085e4d4c0          0 
* 0x085e4d5f0        596 Uint32Vector4
* 0x085e4d720        680 Uint64Point
* 0x085e4d850        575 Uint64Vector
* 0x085e4d980        647 Uint64Vector2
* 0x085e4dab0          0 
* 0x085e4dbe0        655 UintPoint
* 0x085e4dd10        492 UintVector
* 0x085e4de40        632 UintVector2
* 0x085e4df70          0 
* 0x085e4e0a0        294 Vector4
* 0x085e4e1d0        450 Vector4d
* 0x085e4e300          0 
* 0x085e55910      11188 ScriptTypedElementHandle
* 0x085e55b90          0 
* 0x085e56810      11583 TypedElementSelectionSetState
* 0x085e57340          0 
* 0x085e57fc0    8106203 JoinabilitySettings
* 0x085e580f0    8106270 UniqueNetIdWrapper
* 0x085e5be50          0 
* 0x085e5c1a0    8115369 MaterialInput
* 0x085e5c2d0      32759 ColorMaterialInput
* 0x085e5c400          0 
* 0x085e5c530        925 ExpressionInput
* 0x085e5c660    8115471 ExpressionOutput
* 0x085e5c790    8115486 FloatDistribution
* 0x085e5c8c0    8115500 FloatRK4SpringInterpolator
* 0x085e5c9f0    7968873 FormatArgumentData
* 0x085e5ccc0      32802 MaterialAttributesInput
* 0x085e5cdf0    8115800 RawDistribution
* 0x085e5cf20      32769 ScalarMaterialInput
* 0x085e5d050    8115809 ShadingModelMaterialInput
* 0x085e5d180    8115823 StrataMaterialInput
* 0x085e5d2b0      32791 Vector2MaterialInput
* 0x085e5d3e0    8115846 Vector4Distribution
* 0x085e5d510    8115857 VectorDistribution
* 0x085e5d640      32780 VectorMaterialInput
* 0x085e5d770    8115867 VectorRK4SpringInterpolator
* 0x085e5d9f0          0 
* 0x085e5dd40      33484 ChaosBreakEvent
* 0x085e5e260      33473 CollisionChaosEvent
* 0x085e5e390          0 
* 0x085e5e760          0 
* 0x085e5ec80       3244 Key
* 0x085e5f590      30636 HitResult
* 0x085e5f6c0      30589 ActorInstanceHandle
* 0x085e5f7f0      12960 Vector_NetQuantize
* 0x085e5f920      12970 Vector_NetQuantizeNormal
* 0x085e63430          0 
* 0x085e64fa0      24430 PlatformInterfaceDelegateResult
* 0x085e650d0      24418 PlatformInterfaceData
* 0x085e65420      27099 BranchingPointNotifyPayload
* 0x085e657f0      33493 ChaosRemovalEvent
* 0x085e69050      22958 TickFunction
* 0x085e69180      22975 ActorComponentTickFunction
* 0x085e6c240      29435 InterpControlPoint
* 0x085e6c660      23358 DebugFloatHistory
* 0x085e6f010      23307 BaseComponentReference
* 0x085e6f140      23329 SoftComponentReference
* 0x085e6f270          0 
* 0x085e709f0      32288 LatentActionInfo
* 0x085e798e0      30680 TimerHandle
* 0x085e80210      29131 CollisionProfileName
* 0x085e816f0      32244 GenericStruct
* 0x085e81d60      23393 UserActivity
* 0x085e89780          0 
* 0x085e89a00      16792 ChaosCollisionEventData
* 0x085e89f20      16823 ChaosRemovalEventData
* 0x085e8a1a0      16852 ChaosTrailingEventData
* 0x085e91740      33244 BodyInstanceAsyncPhysicsTickHandle
* 0x085e93d00      23281 WalkableSlopeOverride
* 0x085e9c2e0      10341 BodyInstanceCore
* 0x085e9c410          0 
* 0x085e9c540      33234 CollisionResponse
* 0x085e9c670      23034 ResponseChannel
* 0x085e9c7a0      23043 CollisionResponseContainer
* 0x085e9c9a0      24800 CustomPrimitiveData
* 0x085e9cad0      23001 LightingChannels
* 0x085ea1890      16938 GeometryCollectionRepData
* 0x085ea19c0      16923 GeomComponentCacheParameters
* 0x085ea1af0      16724 GeometryCollectionDamagePropagationData
* 0x085ea5520       7142 Geometry
* 0x085ea6b50       7197 SlateBrush
* 0x085ea6c80          0 
* 0x085ea6db0       7203 SlateColor
* 0x085ea6ee0          0 
* 0x085ea7010       6989 DeprecateSlateVector2D
* 0x085ea8c50      10374 FieldNotificationId
* 0x085ea9170      19713 EventReply
* 0x085ea92a0       7091 InputEvent
* 0x085ea93d0       7119 PointerEvent
* 0x085eaadf0          0 
* 0x085eac570       7001 SlateWidgetStyle
* 0x085eac6a0          0 
* 0x085eac7d0       7380 TableRowStyle
* 0x085eac900       7241 ComboBoxStyle
* 0x085eaca30          0 
* 0x085eacb60          0 
* 0x085eacc90       7225 ButtonStyle
* 0x085eae170          0 
* 0x085eae2a0          0 
* 0x085eaf8d0      20024 ShapedTextOptions
* 0x085eafa00          0 
* 0x085eafc00       7257 EditableTextStyle
* 0x085eb1380       7275 EditableTextBoxStyle
* 0x085eb14b0          0 
* 0x085eb19d0       8012 InputChord
* 0x085ebb2c0          0 
* 0x085ebc110      20430 PaintContext
* 0x085ebd4a0       7111 CharacterEvent
* 0x085ebd720       7097 KeyEvent
* 0x085ebd9a0       7133 NavigationEvent
* 0x085ebdd70       7102 AnalogInputEvent
* 0x085ec1790      20597 AudioOutputDeviceInfo
* 0x085ec1bb0          0 
* 0x085edd100      37547 GameplayResourceSet
* 0x085ede5d0      38494 ActorPerceptionUpdateInfo
* 0x085ede700      38523 AIStimulus
* 0x085edeba0          0 
* 0x085ee33a0      24181 OverlapResult
* 0x085ee3da0      40209 BlueprintSessionResult
* 0x085ee4020      40235 OnlineProxyStoreOffer
* 0x085ee4370          0 
* 0x085ee46c0      40185 InAppPurchaseReceiptInfo2
* 0x085eece80      20791 GameplayTag
* 0x085eeef70          0 
* 0x085eef0a0      75901 NiagaraSimCacheCreateParameters
* 0x085ef52e0          0 
* 0x085ef5410      76570 DataRegistryId
* 0x085ef5540      76550 DataRegistryType
* 0x085ef5b80      10805 FastArraySerializerItem
* 0x085ef5cb0      80125 ActiveGameplayEffect
* 0x085ef5de0      79215 GameplayAbilitySpecHandle
* 0x085ef5f10      80436 PredictionKey
* 0x085ef6040          0 
* 0x085ef6170      80293 GameplayEffectContextHandle
* 0x085ef62a0      76685 GameplayAbilitySpecDef
* 0x085ef64a0      80501 ScalableFloat
* 0x085ef65d0          0 
* 0x085ef6700      80037 ModifierSpec
* 0x085ef6830      20798 GameplayTagContainer
* 0x085ef6960      80383 TagContainerAggregator
* 0x085ef6a90      80079 GameplayEffectAttributeCaptureSpecContainer
* 0x085ef6bc0      80061 GameplayEffectAttributeCaptureSpec
* 0x085ef6cf0      76807 GameplayEffectAttributeCaptureDefinition
* 0x085ef6ef0      79179 GameplayAttribute
* 0x085ef7020          0 
* 0x085ef7a80          0 
* 0x085ef7bb0          0 
* 0x085ef8830      80322 GameplayCueParameters
* 0x085ef8960      12949 Vector_NetQuantize10
* 0x085ef9ba0          0 
* 0x085ef9f70          0 
* 0x085efa0a0      79243 GameplayAbilityTargetDataHandle
* 0x085efaef0      80370 GameplayTagRequirements
* 0x085efb020      20826 GameplayTagQuery
* 0x085efb150          0 
* 0x085efca20          0 
* 0x085efd770      80136 GameplayEffectQuery
* 0x085eff430          0 
* 0x085f01630          0 
* 0x085f025d0          0 
* 0x085f03960      10818 FastArraySerializer
* 0x085f03a90          0 
* 0x085f03bc0          0 
* 0x085f03cf0      80408 MinimalReplicationTagCountMap
* 0x085f03e20      79456 ActiveGameplayCueContainer
* 0x085f03f50      79446 ActiveGameplayCue
* 0x085f04080      80161 ActiveGameplayEffectsContainer
* 0x085f041b0      79353 GameplayAbilityLocalAnimMontage
* 0x085f042e0      79199 GameplayAbilityRepAnimMontage
* 0x085f04410      76724 GameplayAbilitySpecContainer
* 0x085f04540          0 
* 0x085f04670      79389 AttributeDefaults
* 0x085f06560      81047 EmbarkDistanceQueryInfo
* 0x085f06690      80989 EmbarkDistanceQueryKey
* 0x085f074f0          0 
* 0x085f07770      81619 EmbarkOctreeElement
* 0x085f078a0      81596 EmbarkOctreeDataHandle
* 0x085f07c70      81652 EmbarkHardwareBreakpointInfo
* 0x085f09e10      82732 InputActionValue
* 0x085f0a5d0      82713 PlayerMappableKeyProfileCreationArgs
* 0x085f0aaf0          0 
* 0x085f0ac20          0 
* 0x085f0b750          0 
* 0x085f0d610      50675 ApiGatewaySharedServerPlayerActivityResponse
* 0x085f0d740      50573 ApiGatewaySharedServerPlayerActivityEntry
* 0x085f0d870      39699 TenancyUserId
* 0x085f0daf0      50544 ApiGatewaySharedServerPlayerActivityAbandonMatchResponse
* 0x085f0dd70          0 
* 0x085f0e140      31138 UniqueNetIdRepl
* 0x085f108a0      84565 GameServer
* 0x085f109d0          0 
* 0x085f10d20      84597 MatchmakingSession
* 0x085f10e50      84542 MatchmakingTimeEstimate
* 0x085f11050      84584 MatchmakingSessionSquad
* 0x085f11180          0 
* 0x085f13ef0      84634 MatchmakingTimeEstimates
* 0x085f14020      84619 MatchmakingTimeEstimateEntry
* 0x085f15550      84510 PresenceInfo
* 0x085f158a0      40615 EmbarkHttpError
* 0x085f15b20          0 
* 0x085f19ba0      51836 ApiGatewaySharedPartyMember
* 0x085f19cd0      51363 ApiGatewaySharedProfile
* 0x085f19e00      51163 ApiGatewaySharedDisplayName
* 0x085f19f30      39707 EmbarkUserId
* 0x085f1baa0          0 
* 0x085f1bbd0          0 
* 0x085f1be50      55601 ApiGatewaySharedPartyChatMessageNotification
* 0x085f1c0d0      55831 ApiGatewaySharedPrivateLobbyChatMessageNotification
* 0x085f1c9e0          0 
* 0x085f1cc60      56857 ApiGatewaySharedWhisperChatMessageNotification
* 0x085f1d180      50888 ApiGatewaySharedServerReportServerHeartbeatResponse
* 0x085f1d2b0      49892 ApiGatewaySharedServerSquadLayout
* 0x085f1d3e0      49858 ApiGatewaySharedServerPlayerInfo
* 0x085f1d510          0 
* 0x085f1db80      50969 ApiGatewaySharedServerTweakables
* 0x085f24620          0 
* 0x085f25370          0 
* 0x085f26700      86908 RigVMDrawContainer
* 0x085f26830      86918 RigVMDrawInstruction
* 0x085f26960      86945 RigVMRuntimeSettings
* 0x085f277c0      94579 RigBaseElement
* 0x085f278f0      94587 RigTransformElement
* 0x085f27a20      94550 RigCurrentAndInitialTransform
* 0x085f27b50      94536 RigLocalAndGlobalTransform
* 0x085f27c80          0 
* 0x085f27db0      94633 RigMultiParentElement
* 0x085f27ee0      94687 RigControlElement
* 0x085f28010          0 
* 0x085f28140      94677 RigControlSettings
* 0x085f28340          0 
* 0x085f28540          0 
* 0x085f28670      95363 RigControlValueStorage
* 0x085f287a0      95351 RigControlLimitEnabled
* 0x085f29080      95714 RigInfluenceMapPerEvent
* 0x085f291b0      95705 RigInfluenceMap
* 0x085f292e0      95681 RigInfluenceEntry
* 0x085f29410      94774 RigHierarchySettings
* 0x085f2d860      30055 DataTableRowHandle
* 0x085f32140     104758 CommonNumberFormattingOptions
* 0x085f33230       7903 Anchors
* 0x085f345c0       7076 FocusEvent
* 0x085f35bf0       7126 MotionEvent
* 0x085f3a2b0      20418 AnimationEventBinding
* 0x085f3a3e0      19727 WidgetChild
* 0x085f3a510      20437 NamedSlotBinding
* 0x085f3d040     104881 CommonRegisteredTabInfo
* 0x085f3f5e0     105931 EmbarkFireOnStateChangedData
* 0x085f3f710      81290 Instigator
* 0x085f3f840          0 
* 0x085f3fac0     105823 EmbarkFireStateChangedDataClient
* 0x085f40150     107486 BoneDamageEventType
* 0x085f40350          0 
* 0x085f40480      80206 GameplayEffectCustomExecutionParameters
* 0x085f40de0     107341 DestructibleBoneHandle
* 0x085f41b20     108405 EmbarkServersideReplicatedInput
* 0x085f41c50     108777 PendulumClaims
